"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Aniliidae","","N3082",78.667745,"N3082",78.667745,1,1,"Anilius_scytale"
"F","Hydrophiidae","","N1937",0.2879795499,"N1937",0.2879795499,1,1,"Kolpophis_annandalei"
"F","Lanthanotidae","","N5290",64.28279,"N5290",64.28279,1,1,"Lanthanotus_borneensis"
"F","Loxocemidae","","N2918",39.265436,"N2918",39.265436,1,1,"Loxocemus_bicolor"
"F","Rhineuridae","","N5832",134.433481,"N5832",134.433481,1,1,"Rhineura_floridana"
"F","Shinisauridae","","N5367",116.26592,"N5367",116.26592,1,1,"Shinisaurus_crocodilurus"
"F","Sphenodontidae","","N1",246.785142,"N1",246.785142,1,1,"Sphenodon_punctatus"
"F","Xenotyphlopidae","","N3135",50.53663,"N3135",50.53663,1,1,"Xenotyphlops_grandidieri"
"F","Acrochordidae","","N12",76.820509,"N2910",33.144993,1,3,""
"F","Agamidae","","N4642",117.375096,"N4643",105.016874321,56,448,""
"F","Alopoglossidae","","N6244",21.285789,"N6245",17.0851595993,2,22,""
"F","Amphisbaenidae","","N5836",53.755752,"N5837",53.28872205,11,171,""
"F","Anguidae","","N5369",94.811183,"N5370",55.7675047356,11,79,""
"F","Anomalepididae","","N8",109.911133,"N3116",79.884284158,4,18,""
"F","Anomochilidae","","N3016",14.894977392,"N3017",9.013661813,1,3,""
"F","Atractaspididae","","N17",57.183132,"N1836",54.76196184106,12,71,""
"F","Bipedidae","","N5833",95.990273,"N6019",50.38469,1,3,""
"F","Blanidae","","N5835",73.739955,"N6012",37.449085,1,7,""
"F","Boidae","","N2915",75.279165,"N3025",60.749249229,14,58,""
"F","Bolyeriidae","","N2912",69.774309,"N2914",58.23890087,2,2,""
"F","Cadeidae","","N5834",82.998372,"N6018",18.04619661,1,2,""
"F","Carphodactylidae","","N9660",54.359783,"N9704",39.518497282,7,30,""
"F","Chamaeleonidae","","N4642",117.375096,"N5090",68.884961494,12,200,""
"F","Colubridae","","N17",57.183132,"N18",51.0204236222,251,1816,""
"F","Cordylidae","","N7997",76.120433,"N7998",46.778647,10,66,""
"F","Corytophanidae","","N4458",51.902666,"N4459",36.210652717,3,9,""
"F","Crotaphytidae","","N4029",54.596058,"N4052",32.426049,2,12,""
"F","Cyclocoridae","","N16",59.319748,"N17",57.183132808,4,7,""
"F","Cylindrophiidae","","N2959",40.665082,"N3013",26.067050849,1,10,""
"F","Dactyloidae","","N4063",66.309043,"N4064",60.301373849,1,395,""
"F","Dibamidae","","N2",194.431664,"N9733",194.43143925,2,23,""
"F","Diplodactylidae","","N9530",61.738624,"N9531",57.3333267809,25,130,""
"F","Diploglossidae","","N5371",53.091307,"N5444",48.552599349,3,51,""
"F","Elapidae","","N1838",37.569891,"N1839",35.205328492,53,352,""
"F","Eublepharidae","","N8133",96.268143,"N9498",89.756603202,6,33,""
"F","Gekkonidae","","N8135",84.681892,"N8136",80.0746032362,55,1022,""
"F","Gerrhopilidae","","N3134",67.527578,"N3396",63.914375747,2,18,""
"F","Gerrhosauridae","","N7997",76.120433,"N8063",37.733357593,7,37,""
"F","Gymnophthalmidae","","N6022",86.510374,"N6023",78.469760965,44,224,""
"F","Helodermatidae","","N5369",94.811183,"N5499",18.763581,1,2,""
"F","Homalopsidae","","N16",59.319748,"N2497",25.57023839,28,53,""
"F","Hoplocercidae","","N4030",50.335537,"N4031",25.203972069,3,16,""
"F","Iguanidae","","N3863",53.200923,"N3988",32.450451516,8,42,""
"F","Lacertidae","","N5510",143.791813,"N5511",56.016290636,43,322,""
"F","Lamprophiidae","","N2194",42.161016,"N2195",39.8830331061,15,75,""
"F","Leiocephalidae","","N4458",51.902666,"N4467",24.155538714,1,29,""
"F","Leiosauridae","","N3823",52.384917,"N3824",21.54905571,6,33,""
"F","Leptotyphlopidae","","N3133",95.51404,"N3413",63.170583032,12,118,""
"F","Liolaemidae","","N3535",56.921384,"N3536",44.9051541877,3,288,""
"F","Opluridae","","N3823",52.384917,"N3856",24.1476,2,7,""
"F","Pareidae","","N12",76.820509,"N13",75.521482587,4,20,""
"F","Phrynosomatidae","","N3532",73.07084,"N4495",37.626011621,9,148,""
"F","Phyllodactylidae","","N8135",84.681892,"N9157",76.0859801715,10,134,""
"F","Polychrotidae","","N4030",50.335537,"N4046",24.405699151,1,7,""
"F","Prosymnidae","","N2197",34.838842,"N2252",30.126093476,1,16,""
"F","Psammophiidae","","N2198",34.2625711889,"N2199",24.190834375,7,50,""
"F","Pseudaspididae","","N1837",46.049357,"N1838",37.569901998,3,4,""
