genus,family
Ablepharus,Scincidae
Abronia,Anguidae
Acanthocercus,Agamidae
Acanthodactylus,Lacertidae
Acanthophis,Elapidae
Acanthosaura,Agamidae
Achalinus,Xenodermidae
Acontias,Scincidae
Acrantophis,Boidae
Acratosaura,Gymnophthalmidae
Acrochordus,Acrochordidae
Acutotyphlops,Typhlopidae
Adelophis,Colubridae
Adelphicos,Colubridae
Adercosaurus,Gymnophthalmidae
Adolfus,Lacertidae
Aeluroglena,Colubridae
Aeluroscalabotes,Eublepharidae
Afroablepharus,Scincidae
Afroedura,Gekkonidae
Afrogecko,Gekkonidae
Afronatrix,Colubridae
Afrotyphlops,Typhlopidae
Agama,Agamidae
Agamodon,Trogonophidae
Agamura,Gekkonidae
Agkistrodon,Viperidae
Ahaetulla,Colubridae
Ailuronyx,Gekkonidae
Aipysurus,Elapidae
Alexandresaurus,Gymnophthalmidae
Algyroides,Lacertidae
Alinea,Scincidae
Alluaudina,Pseudoxyrhophiidae
Alopoglossus,Alopoglossidae
Alsophis,Colubridae
Alsophylax,Gekkonidae
Altiphylax,Gekkonidae
Amalosia,Diplodactylidae
Amapasaurus,Gymnophthalmidae
Amastridium,Colubridae
Amblyodipsas,Atractaspididae
Amblyrhynchus,Iguanidae
Ameiva,Teiidae
Ameivula,Teiidae
Amerotyphlops,Typhlopidae
Amnesteophis,Colubridae
Amphibolurus,Agamidae
Amphiesma,Colubridae
Amphiesmoides,Colubridae
Amphiglossus,Scincidae
Amphisbaena,Amphisbaenidae
Amplorhinus,Pseudoxyrhophiidae
Anadia,Gymnophthalmidae
Anatololacerta,Lacertidae
Ancylocranium,Amphisbaenidae
Androngo,Scincidae
Anelytropsis,Dibamidae
Anepischetosia,Scincidae
Anguis,Anguidae
Anilios,Typhlopidae
Anilius,Aniliidae
Anisolepis,Leiosauridae
Anniella,Anguidae
Anolis,Dactyloidae
Anomalepis,Anomalepididae
Anomalopus,Scincidae
Anomochilus,Anomochilidae
Anoplohydrus,Colubridae
Anotosaura,Gymnophthalmidae
Antaresia,Pythonidae
Aparallactus,Atractaspididae
Apathya,Lacertidae
Aphaniotis,Agamidae
Aplopeltura,Pareidae
Apostolepis,Colubridae
Aprasia,Pygopodidae
Aprosdoketophis,Colubridae
Archaeolacerta,Lacertidae
Archaius,Chamaeleonidae
Archelaphe,Colubridae
Argyrogena,Colubridae
Argyrophis,Typhlopidae
Aristelliger,Sphaerodactylidae
Arizona,Colubridae
Arrhyton,Colubridae
Arthrosaura,Gymnophthalmidae
Asaccus,Phyllodactylidae
Aspidelaps,Elapidae
Aspidites,Pythonidae
Aspidomorphus,Elapidae
Aspidoscelis,Teiidae
Aspidura,Colubridae
Aspronema,Scincidae
Asthenodipsas,Pareidae
Asymblepharus,Scincidae
Ateuchosaurus,Scincidae
Atheris,Viperidae
Atlantolacerta,Lacertidae
Atractaspis,Atractaspididae
Atractus,Colubridae
Atretium,Colubridae
Atropoides,Viperidae
Aurivela,Teiidae
Australolacerta,Lacertidae
Austrelaps,Elapidae
Azemiops,Viperidae
Bachia,Gymnophthalmidae
Baikia,Amphisbaenidae
Balanophis,Colubridae
Bamanophis,Colubridae
Barisia,Anguidae
