species,genus,family,species.relative,genus.relative
Cuora hainanensis,Cuora,,,
Platysternon megacephalum,Platysternon,,,
Trionyx sinensis,Trionyx,,,
Acanthosaura armata,Acanthosaura,,,
Calotes versicolor,Calotes,,,
Draco maculatus,Draco,,,
Leiolepis belliana,Leiolepis,,,
Varanus salvator,Varanus,,,
Eublepharis lichtenfeideri,Eublepharis,,,
Gehyra mutilata,Gehyra,,,
Gekko chinensis,Gekko,,,
Hemidactylus bowringii,Hemidactylus,,,
Hemidactylus frenatus,Hemidactylus,,,
Hemidactylus garnotii,Hemidactylus,,,
Takydromus sexlineatus,Takydromus,,,
Ateuchosaurus chinensis,Ateuchosaurus
Ramphotyphlops braminus,Ramphotyphlops
Python molurus,Python
Ahaetulla ahaetulla,Ahaetulla
Boiga multomaculata,Boiga
Dinodon rosozonatum,Dinodon
Dryophis prasinus,Dryophis
Elaphe schrenckii,Elaphe
Enhydris bennetti,Enhydris
Natrix chrysarga,Natrix
Natrix craspedogaster,Natrix
Natrix miyajimae,Natrix
Natrix percarinata,Natrix
Natrix piscator,Natrix
Natrix stolata,Natrix
Natrix tigrina,Natrix
Oligodon chinensis,Oligodon
Oligodon formosanus,Oligodon
Oligodon swinhonis,Oligodon
Pareas margaritophorus,Pareas
Plagiopholis blakewayi,Plagiopholis
Psammodynastes pulverulentus,Psammodynastes
Pseudoxenodon bambusicola,Pseudoxenodon
Ptyas korros,Ptyas
Ptyas mucosus,Ptyas
Rhynchophis boulengeri,Rhynchophis
Sibynophis chinensis,Sibynophis
Bungarus multicinctus,Bungarus
Calliophis kelloggi,Calliophis
Calliophis macclellandi,Calliophis
Naja naja,Naja
Ophiophagus hannah,Ophiophagus
Hydrophis cyanocinctus,Hydrophis
Trimeresurus albolabris,Trimeresurus
Trimeresurus stejnegeri,Trimeresurus
